time,lon,lat,mode
2016-02-25 17:28:30,116.299922476,39.9426513585,6.0
2016-02-25 17:28:35,116.299861539,39.9426570582,6.0
2016-02-25 17:28:40,116.299719969,39.9427057989,6.0
2016-02-25 17:28:45,116.299613603,39.942736812,6.0
2016-02-25 17:28:50,116.299534142,39.9427680346,6.0
2016-02-25 17:28:54,116.299309172,39.9428495067,6.0
2016-02-25 17:28:59,116.299032988,39.9429551606,6.0
2016-02-25 17:29:04,116.298622945,39.9430748122,6.0
2016-02-25 17:29:09,116.298160683,39.9431759818,6.0
2016-02-25 17:29:14,116.297713425,39.9432981899,6.0
2016-02-25 17:29:19,116.297404887,39.94344173,6.0
2016-02-25 17:29:24,116.297121411,39.9435557658,6.0
2016-02-25 17:29:29,116.296862494,39.943654798,6.0
2016-02-25 17:29:34,116.296726372,39.943685392,6.0
2016-02-25 17:30:01,116.296731485,39.9436938158,6.0
2016-02-25 17:30:06,116.296462258,39.9437545846,6.0
2016-02-25 17:30:11,116.296161348,39.9438254536,6.0
2016-02-25 17:30:16,116.295632701,39.9440427963,6.0
2016-02-25 17:30:21,116.29495821,39.9442436686,6.0
2016-02-25 17:30:26,116.294413805,39.9444263941,6.0
2016-02-25 17:30:31,116.293810643,39.9446278112,6.0
2016-02-25 17:30:36,116.293155095,39.944903031,6.0
2016-02-25 17:30:41,116.292338865,39.9451321084,6.0
2016-02-25 17:30:46,116.291497154,39.9454422389,6.0
2016-02-25 17:30:51,116.290633902,39.9457545486,6.0
2016-02-25 17:30:56,116.289736955,39.9460726837,6.0
2016-02-25 17:31:01,116.288793571,39.9463229673,6.0
2016-02-25 17:31:06,116.287769135,39.9464862887,6.0
2016-02-25 17:31:11,116.286770264,39.9465170922,6.0
2016-02-25 17:31:16,116.285748091,39.9464425771,6.0
2016-02-25 17:31:21,116.284824908,39.9462673115,6.0
2016-02-25 17:31:26,116.284038266,39.9460774195,6.0
2016-02-25 17:31:31,116.283345586,39.9459464522,6.0
2016-02-25 17:31:36,116.282983152,39.9458706798,6.0
2016-02-25 17:31:41,116.282837642,39.9458423071,6.0
2016-02-25 17:31:46,116.282753488,39.9458212685,6.0
2016-02-25 17:32:22,116.282716356,39.9458272197,6.0
2016-02-25 17:32:52,116.282729684,39.9458228611,6.0
2016-02-25 17:32:57,116.282729264,39.945796039,6.0
2016-02-25 17:33:02,116.282772934,39.9457876152,6.0
2016-02-25 17:33:09,116.282749884,39.9457783113,6.0
2016-02-25 17:33:14,116.282494571,39.9457325461,6.0
2016-02-25 17:33:19,116.282075727,39.9456642755,6.0
2016-02-25 17:33:24,116.281635929,39.945601956,6.0
2016-02-25 17:33:29,116.28102866,39.9455051031,6.0
2016-02-25 17:33:34,116.280355593,39.9454033887,6.0
2016-02-25 17:33:39,116.279609855,39.9453427457,6.0
2016-02-25 17:33:44,116.2788093,39.9453034345,6.0
2016-02-25 17:33:49,116.277945712,39.9453028897,6.0
2016-02-25 17:33:54,116.277177008,39.9453272811,6.0
2016-02-25 17:33:59,116.276412411,39.9453565758,6.0
2016-02-25 17:34:04,116.275683101,39.9453781592,6.0
2016-02-25 17:34:09,116.275028559,39.9454039755,6.0
2016-02-25 17:34:14,116.27466646,39.9454120221,6.0
2016-02-25 17:34:19,116.274581635,39.9454005808,6.0
2016-02-25 17:34:24,116.274408717,39.9453874212,6.0
2016-02-25 17:34:29,116.274069082,39.9454001198,6.0
2016-02-25 17:34:34,116.273579495,39.9454214517,6.0
2016-02-25 17:34:39,116.273095524,39.9454436638,6.0
2016-02-25 17:34:44,116.272692857,39.9454738805,6.0
2016-02-25 17:34:49,116.27236764,39.9454815919,6.0
2016-02-25 17:34:54,116.271990957,39.9455207773,6.0
2016-02-25 17:34:59,116.271642856,39.9454870401,6.0
2016-02-25 17:35:04,116.271390645,39.945494961,6.0
2016-02-25 17:35:09,116.27126718,39.9455017085,6.0
2016-02-25 17:35:14,116.271148995,39.9455321767,6.0
2016-02-25 17:35:19,116.271131393,39.9455319671,6.0
2016-02-25 17:35:24,116.271105912,39.9455293268,6.0
2016-02-25 17:35:29,116.27108437,39.9455480604,6.0
2016-02-25 17:36:51,116.270998204,39.9455462164,6.0
2016-02-25 17:37:08,116.271005832,39.9455382117,6.0
2016-02-25 17:37:13,116.270994181,39.9455316738,6.0
2016-02-25 17:37:23,116.271021338,39.9455405167,6.0
2016-02-25 17:37:29,116.271023769,39.9455240462,6.0
2016-02-25 17:37:34,116.271010526,39.9455060671,6.0
2016-02-25 17:37:37,116.270918576,39.9454925303,6.0
2016-02-25 17:37:43,116.270548347,39.9455186818,6.0
2016-02-25 17:37:48,116.270129504,39.9455451686,6.0
2016-02-25 17:37:53,116.269709235,39.9455992738,6.0
2016-02-25 17:37:58,116.26928201,39.9455617648,6.0
2016-02-25 17:38:03,116.269162987,39.9456166244,6.0
2016-02-25 17:38:08,116.26904388,39.9455980584,6.0
2016-02-25 17:38:13,116.268689744,39.9456303288,6.0
2016-02-25 17:38:18,116.268490004,39.945639507,6.0
2016-02-25 17:38:23,116.268485393,39.9456588691,6.0
2016-02-25 17:38:28,116.268058,39.9458110845,6.0
2016-02-25 17:38:33,116.267846692,39.9458423909,6.0
2016-02-25 17:38:38,116.267776117,39.945714986,6.0
2016-02-25 17:38:43,116.267736387,39.9453169713,6.0
2016-02-25 17:38:48,116.267722389,39.9449852575,6.0
2016-02-25 17:38:53,116.267688107,39.9446729059,6.0
2016-02-25 17:38:58,116.267694142,39.9442384718,6.0
2016-02-25 17:39:03,116.26774611,39.9438676145,6.0
2016-02-25 17:39:08,116.267796401,39.9436176662,6.0
2016-02-25 17:39:13,116.267818781,39.9435111741,6.0
2016-02-25 17:39:18,116.267859936,39.9433183065,6.0
2016-02-25 17:39:23,116.267883657,39.943123553,6.0
2016-02-25 17:39:28,116.267898074,39.9430870498,6.0
2016-02-25 17:39:33,116.267910143,39.9429893587,6.0
2016-02-25 17:39:38,116.267931434,39.9427656038,6.0
2016-02-25 17:39:43,116.267923638,39.9426810304,6.0
2016-02-25 17:39:48,116.267924979,39.9425507337,6.0
2016-02-25 17:39:53,116.267909389,39.9424605444,6.0
2016-02-25 17:39:58,116.267903186,39.9423559802,6.0
2016-02-25 17:40:03,116.267900923,39.9422072433,6.0
2016-02-25 17:40:08,116.267931098,39.941941076,6.0
2016-02-25 17:40:13,116.267966051,39.9416116672,6.0
2016-02-25 17:40:18,116.267941408,39.9412580347,6.0
